Year,Dam,Chinook.Adult,Chinook.Jack,Coho.Adult,Coho.Jack,Sockeye,Steelhead,Wild.Steelhead,Pink,Shad,Chum,Lamprey
1984,RRH,11457,3147,923,0,73290,17228,NA,NA,NA,NA,NA
1983,RRH,7275,1744,237,0,26079,19698,NA,NA,NA,NA,NA
1982,RRH,6315,2881,938,0,17379,6241,NA,NA,NA,NA,NA
1981,RRH,8820,1449,522,0,30649,5524,NA,NA,NA,NA,NA
1980,RRH,8024,2127,713,0,29906,4295,NA,NA,NA,NA,NA
1979,RRH,11315,3576,244,NA,28747,4896,NA,NA,NA,NA,NA
1978,RRH,16298,3247,1438,NA,8157,2453,NA,NA,NA,NA,NA
1977,RRH,17516,8389,888,NA,25648,7388,NA,NA,NA,NA,NA
2007,WEL,16918,5362,2432,0,22273,7500,3410,0,0,0,35
2006,WEL,33170,3445,409,0,22075,6674,2573,0,0,0,21
2005,WEL,38972,1248,348,0,55559,7203,2760,NA,NA,NA,212
2004,WEL,41334,2083,291,0,78053,9317,5600,NA,NA,NA,291
2003,WEL,56362,2984,168,0,28977,9963,5952,NA,NA,NA,1408
2002,WEL,76421,684,132,0,10586,9475,5552,NA,NA,NA,338
2001,WEL,50161,8446,609,7,74490,18483,8381,NA,NA,NA,261
2000,WEL,10788,5372,0,0,59944,6280,1787,NA,NA,NA,NA
1999,WEL,9401,1371,199,21,12228,3557,603,NA,NA,NA,NA
1998,WEL,4290,915,0,0,4669,2668,314,NA,NA,NA,NA
1997,WEL,4123,338,3,5,25754,4107,NA,NA,NA,NA,NA
1996,WEL,3267,427,1,0,17701,4127,NA,NA,NA,NA,NA
1995,WEL,3840,505,0,0,4893,945,NA,NA,NA,NA,NA
1994,WEL,7318,948,3,0,1666,2183,NA,NA,NA,NA,NA
1993,WEL,7066,355,7,7,27849,2400,NA,NA,NA,NA,NA
1992,WEL,3655,1409,28,0,41951,7073,NA,NA,NA,NA,NA
1991,WEL,3038,642,16,0,27490,7715,NA,NA,NA,NA,NA
1990,WEL,4765,380,38,0,7972,3819,NA,NA,NA,NA,NA
1989,WEL,6084,436,15,0,15976,4608,NA,NA,NA,NA,NA
1988,WEL,6921,942,78,0,33978,4415,NA,NA,NA,NA,NA
1987,WEL,7065,849,39,0,40109,5195,NA,NA,NA,NA,NA
1986,WEL,7430,967,92,0,34788,13234,NA,NA,NA,NA,NA
1985,WEL,10216,1667,89,1,52989,19757,NA,NA,NA,NA,NA
1984,WEL,8644,2364,95,7,81054,16431,NA,NA,NA,NA,NA
1983,WEL,5326,1509,81,0,27925,18848,NA,NA,NA,NA,NA
1982,WEL,5397,2372,354,1,19005,7811,NA,NA,NA,NA,NA
1981,WEL,5405,1488,25,0,28234,4014,NA,NA,NA,NA,NA
1980,WEL,5317,1460,82,0,26573,3369,NA,NA,NA,NA,NA
1979,WEL,8748,3542,62,NA,26655,3689,NA,NA,NA,NA,NA
1978,WEL,9499,1871,77,NA,7458,1621,NA,NA,NA,NA,NA
1977,WEL,10188,4810,68,NA,21973,5382,NA,NA,NA,NA,NA
2007,WFA,22980,298,1033,164,0,19170,0,0,0,0,0
2006,WFA,38788,519,6186,1614,0,25930,0,0,0,0,0
2005,WFA,36417,1253,1322,271,NA,19733,NA,NA,NA,NA,NA
2004,WFA,96692,873,2849,522,NA,45109,NA,NA,NA,NA,NA
2003,WFA,86288,1885,7908,1869,NA,25306,NA,NA,NA,NA,NA
2002,WFA,82874,1120,2337,2417,NA,50084,NA,NA,NA,NA,NA
2001,WFA,54396,1327,1736,402,NA,39590,NA,NA,NA,NA,NA
2000,WFA,39490,1712,2839,773,NA,17744,NA,NA,NA,NA,NA
1999,WFA,39237,1525,635,623,NA,17839,NA,NA,NA,NA,NA
1998,WFA,35730,1453,373,386,NA,16609,NA,NA,NA,NA,NA
1997,WFA,30696,681,1407,428,NA,19451,NA,NA,NA,NA,NA
1996,WFA,21569,2000,315,976,NA,8147,NA,NA,NA,NA,NA
1995,WFA,20331,1318,582,600,NA,17397,NA,NA,NA,NA,NA
1994,WFA,28005,789,685,174,NA,17119,NA,NA,NA,NA,NA
1993,WFA,36869,2381,427,236,NA,16488,NA,NA,NA,NA,NA
1992,WFA,52292,4003,940,588,NA,17093,NA,NA,NA,NA,NA
1991,WFA,55184,6769,921,815,NA,11303,NA,NA,NA,NA,NA
1990,WFA,73618,2567,901,1817,NA,34535,NA,NA,NA,NA,NA
1989,WFA,72338,3827,1946,1741,NA,16413,NA,NA,NA,NA,NA
1988,WFA,75590,1816,3707,4985,NA,60318,NA,NA,NA,NA,NA
1987,WFA,61563,2218,1589,3224,NA,40507,NA,NA,NA,NA,NA
1986,WFA,51337,2665,2930,2240,NA,61970,NA,NA,NA,NA,NA
1985,WFA,62184,2552,2788,2278,NA,42815,NA,NA,NA,NA,NA
1984,WFA,62423,2173,2735,2560,NA,42386,NA,NA,NA,NA,NA
1983,WFA,41897,2425,949,2840,NA,14599,NA,NA,NA,NA,NA
1982,WFA,70867,2211,1702,3517,NA,25582,NA,NA,NA,NA,NA
1981,WFA,45330,2502,1032,2417,NA,31890,NA,NA,NA,NA,NA
1980,WFA,34124,1234,1276,1365,NA,33578,NA,NA,NA,NA,NA
1979,WFA,35397,1567,1788,1691,NA,16364,NA,NA,NA,NA,NA
1978,WFA,63148,2266,1711,3891,NA,32041,NA,NA,NA,NA,NA
1977,WFA,64251,1885,1007,2120,NA,22848,NA,NA,NA,NA,NA
1976,WFA,50300,2054,2333,2217,NA,13274,NA,NA,NA,NA,NA
1975,WFA,50721,2130,5922,6927,NA,9040,NA,NA,NA,NA,NA
1974,WFA,78014,705,1501,3941,NA,19682,NA,NA,NA,NA,NA
1973,WFA,62356,1841,5174,1583,NA,19586,NA,NA,NA,NA,NA
1972,WFA,36953,1027,9983,7157,NA,23947,NA,NA,NA,NA,NA
1971,WFA,48816,843,17410,6670,NA,28957,NA,NA,NA,NA,NA
1970,WFA,40867,871,17902,19453,NA,4846,NA,NA,NA,NA,NA
1969,WFA,37977,2694,3260,14032,NA,8400,NA,NA,NA,NA,NA
1968,WFA,33118,2597,12400,5300,NA,6400,NA,NA,NA,NA,NA
1967,WFA,55590,2621,7084,1614,NA,14600,NA,NA,NA,NA,NA
1966,WFA,26378,2878,4071,2247,NA,14700,NA,NA,NA,NA,NA
1965,WFA,26700,2441,7080,2184,NA,1500,NA,NA,NA,NA,NA
1964,WFA,31747,4543,NA,NA,NA,900,NA,NA,NA,NA,NA
1963,WFA,29000,1300,NA,NA,NA,1000,NA,NA,NA,NA,NA
1962,WFA,22200,3800,NA,NA,NA,5900,NA,NA,NA,NA,NA
1961,WFA,17200,1700,NA,NA,NA,6500,NA,NA,NA,NA,NA
1960,WFA,13005,1404,512,458,NA,2200,NA,NA,NA,NA,NA
1959,WFA,29614,2302,2065,840,NA,3700,NA,NA,NA,NA,NA
1958,WFA,42946,2379,394,976,NA,5500,NA,NA,NA,NA,NA
1957,WFA,37113,2240,2950,1200,NA,7500,NA,NA,NA,NA,NA
1956,WFA,58006,615,2600,6035,NA,3800,NA,NA,NA,NA,NA
1955,WFA,20575,1500,340,1810,NA,2100,NA,NA,NA,NA,NA
1954,WFA,29525,1972,315,160,NA,5200,NA,NA,NA,NA,NA
1953,WFA,72300,4146,NA,NA,NA,1200,NA,NA,NA,NA,NA
1952,WFA,52200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,WFA,34300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,WFA,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,WFA,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,WFA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,WFA,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,WFA,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
